1	79
2	14
3	55
4	13
seed-to-soil map:
| range {size} | src {seed}   | dst {soil}   |
| 1            | 98           | 50           |
| 2            | 99           | 51           |
| range {size} | src {seed}   | dst {soil}   |
| 1            | 50           | 52           |
| 2            | 51           | 53           |
| 3            | 52           | 54           |
| 4            | 53           | 55           |
| 5            | 54           | 56           |
| 6            | 55           | 57           |
| 7            | 56           | 58           |
| 8            | 57           | 59           |
| 9            | 58           | 60           |
| 10           | 59           | 61           |
| 11           | 60           | 62           |
| 12           | 61           | 63           |
| 13           | 62           | 64           |
| 14           | 63           | 65           |
| 15           | 64           | 66           |
| 16           | 65           | 67           |
| 17           | 66           | 68           |
| 18           | 67           | 69           |
| 19           | 68           | 70           |
| 20           | 69           | 71           |
| 21           | 70           | 72           |
| 22           | 71           | 73           |
| 23           | 72           | 74           |
| 24           | 73           | 75           |
| 25           | 74           | 76           |
| 26           | 75           | 77           |
| 27           | 76           | 78           |
| 28           | 77           | 79           |
| 29           | 78           | 80           |
| 30           | 79           | 81           |
| 31           | 80           | 82           |
| 32           | 81           | 83           |
| 33           | 82           | 84           |
| 34           | 83           | 85           |
| 35           | 84           | 86           |
| 36           | 85           | 87           |
| 37           | 86           | 88           |
| 38           | 87           | 89           |
| 39           | 88           | 90           |
| 40           | 89           | 91           |
| 41           | 90           | 92           |
| 42           | 91           | 93           |
| 43           | 92           | 94           |
| 44           | 93           | 95           |
| 45           | 94           | 96           |
| 46           | 95           | 97           |
| 47           | 96           | 98           |
| 48           | 97           | 99           |
soil-to-fertilizer map:
| range {size}     | src {soil}       | dst {fertilizer} |
| 1                | 15               | 0                |
| 2                | 16               | 1                |
| 3                | 17               | 2                |
| 4                | 18               | 3                |
| 5                | 19               | 4                |
| 6                | 20               | 5                |
| 7                | 21               | 6                |
| 8                | 22               | 7                |
| 9                | 23               | 8                |
| 10               | 24               | 9                |
| 11               | 25               | 10               |
| 12               | 26               | 11               |
| 13               | 27               | 12               |
| 14               | 28               | 13               |
| 15               | 29               | 14               |
| 16               | 30               | 15               |
| 17               | 31               | 16               |
| 18               | 32               | 17               |
| 19               | 33               | 18               |
| 20               | 34               | 19               |
| 21               | 35               | 20               |
| 22               | 36               | 21               |
| 23               | 37               | 22               |
| 24               | 38               | 23               |
| 25               | 39               | 24               |
| 26               | 40               | 25               |
| 27               | 41               | 26               |
| 28               | 42               | 27               |
| 29               | 43               | 28               |
| 30               | 44               | 29               |
| 31               | 45               | 30               |
| 32               | 46               | 31               |
| 33               | 47               | 32               |
| 34               | 48               | 33               |
| 35               | 49               | 34               |
| 36               | 50               | 35               |
| 37               | 51               | 36               |
| range {size}     | src {soil}       | dst {fertilizer} |
| 1                | 52               | 37               |
| 2                | 53               | 38               |
| range {size}     | src {soil}       | dst {fertilizer} |
| 1                | 0                | 39               |
| 2                | 1                | 40               |
| 3                | 2                | 41               |
| 4                | 3                | 42               |
| 5                | 4                | 43               |
| 6                | 5                | 44               |
| 7                | 6                | 45               |
| 8                | 7                | 46               |
| 9                | 8                | 47               |
| 10               | 9                | 48               |
| 11               | 10               | 49               |
| 12               | 11               | 50               |
| 13               | 12               | 51               |
| 14               | 13               | 52               |
| 15               | 14               | 53               |
fertilizer-to-water map:
| range {size}     | src {fertilizer} | dst {water}      |
| 1                | 53               | 49               |
| 2                | 54               | 50               |
| 3                | 55               | 51               |
| 4                | 56               | 52               |
| 5                | 57               | 53               |
| 6                | 58               | 54               |
| 7                | 59               | 55               |
| 8                | 60               | 56               |
| range {size}     | src {fertilizer} | dst {water}      |
| 1                | 11               | 0                |
| 2                | 12               | 1                |
| 3                | 13               | 2                |
| 4                | 14               | 3                |
| 5                | 15               | 4                |
| 6                | 16               | 5                |
| 7                | 17               | 6                |
| 8                | 18               | 7                |
| 9                | 19               | 8                |
| 10               | 20               | 9                |
| 11               | 21               | 10               |
| 12               | 22               | 11               |
| 13               | 23               | 12               |
| 14               | 24               | 13               |
| 15               | 25               | 14               |
| 16               | 26               | 15               |
| 17               | 27               | 16               |
| 18               | 28               | 17               |
| 19               | 29               | 18               |
| 20               | 30               | 19               |
| 21               | 31               | 20               |
| 22               | 32               | 21               |
| 23               | 33               | 22               |
| 24               | 34               | 23               |
| 25               | 35               | 24               |
| 26               | 36               | 25               |
| 27               | 37               | 26               |
| 28               | 38               | 27               |
| 29               | 39               | 28               |
| 30               | 40               | 29               |
| 31               | 41               | 30               |
| 32               | 42               | 31               |
| 33               | 43               | 32               |
| 34               | 44               | 33               |
| 35               | 45               | 34               |
| 36               | 46               | 35               |
| 37               | 47               | 36               |
| 38               | 48               | 37               |
| 39               | 49               | 38               |
| 40               | 50               | 39               |
| 41               | 51               | 40               |
| 42               | 52               | 41               |
| range {size}     | src {fertilizer} | dst {water}      |
| 1                | 0                | 42               |
| 2                | 1                | 43               |
| 3                | 2                | 44               |
| 4                | 3                | 45               |
| 5                | 4                | 46               |
| 6                | 5                | 47               |
| 7                | 6                | 48               |
| range {size}     | src {fertilizer} | dst {water}      |
| 1                | 7                | 57               |
| 2                | 8                | 58               |
| 3                | 9                | 59               |
| 4                | 10               | 60               |
water-to-light map:
| range {size} | src {water}  | dst {light}  |
| 1            | 18           | 88           |
| 2            | 19           | 89           |
| 3            | 20           | 90           |
| 4            | 21           | 91           |
| 5            | 22           | 92           |
| 6            | 23           | 93           |
| 7            | 24           | 94           |
| range {size} | src {water}  | dst {light}  |
| 1            | 25           | 18           |
| 2            | 26           | 19           |
| 3            | 27           | 20           |
| 4            | 28           | 21           |
| 5            | 29           | 22           |
| 6            | 30           | 23           |
| 7            | 31           | 24           |
| 8            | 32           | 25           |
| 9            | 33           | 26           |
| 10           | 34           | 27           |
| 11           | 35           | 28           |
| 12           | 36           | 29           |
| 13           | 37           | 30           |
| 14           | 38           | 31           |
| 15           | 39           | 32           |
| 16           | 40           | 33           |
| 17           | 41           | 34           |
| 18           | 42           | 35           |
| 19           | 43           | 36           |
| 20           | 44           | 37           |
| 21           | 45           | 38           |
| 22           | 46           | 39           |
| 23           | 47           | 40           |
| 24           | 48           | 41           |
| 25           | 49           | 42           |
| 26           | 50           | 43           |
| 27           | 51           | 44           |
| 28           | 52           | 45           |
| 29           | 53           | 46           |
| 30           | 54           | 47           |
| 31           | 55           | 48           |
| 32           | 56           | 49           |
| 33           | 57           | 50           |
| 34           | 58           | 51           |
| 35           | 59           | 52           |
| 36           | 60           | 53           |
| 37           | 61           | 54           |
| 38           | 62           | 55           |
| 39           | 63           | 56           |
| 40           | 64           | 57           |
| 41           | 65           | 58           |
| 42           | 66           | 59           |
| 43           | 67           | 60           |
| 44           | 68           | 61           |
| 45           | 69           | 62           |
| 46           | 70           | 63           |
| 47           | 71           | 64           |
| 48           | 72           | 65           |
| 49           | 73           | 66           |
| 50           | 74           | 67           |
| 51           | 75           | 68           |
| 52           | 76           | 69           |
| 53           | 77           | 70           |
| 54           | 78           | 71           |
| 55           | 79           | 72           |
| 56           | 80           | 73           |
| 57           | 81           | 74           |
| 58           | 82           | 75           |
| 59           | 83           | 76           |
| 60           | 84           | 77           |
| 61           | 85           | 78           |
| 62           | 86           | 79           |
| 63           | 87           | 80           |
| 64           | 88           | 81           |
| 65           | 89           | 82           |
| 66           | 90           | 83           |
| 67           | 91           | 84           |
| 68           | 92           | 85           |
| 69           | 93           | 86           |
| 70           | 94           | 87           |
light-to-temperature map:
| range {size}      | src {light}       | dst {temperature} |
| 1                 | 77                | 45                |
| 2                 | 78                | 46                |
| 3                 | 79                | 47                |
| 4                 | 80                | 48                |
| 5                 | 81                | 49                |
| 6                 | 82                | 50                |
| 7                 | 83                | 51                |
| 8                 | 84                | 52                |
| 9                 | 85                | 53                |
| 10                | 86                | 54                |
| 11                | 87                | 55                |
| 12                | 88                | 56                |
| 13                | 89                | 57                |
| 14                | 90                | 58                |
| 15                | 91                | 59                |
| 16                | 92                | 60                |
| 17                | 93                | 61                |
| 18                | 94                | 62                |
| 19                | 95                | 63                |
| 20                | 96                | 64                |
| 21                | 97                | 65                |
| 22                | 98                | 66                |
| 23                | 99                | 67                |
| range {size}      | src {light}       | dst {temperature} |
| 1                 | 45                | 81                |
| 2                 | 46                | 82                |
| 3                 | 47                | 83                |
| 4                 | 48                | 84                |
| 5                 | 49                | 85                |
| 6                 | 50                | 86                |
| 7                 | 51                | 87                |
| 8                 | 52                | 88                |
| 9                 | 53                | 89                |
| 10                | 54                | 90                |
| 11                | 55                | 91                |
| 12                | 56                | 92                |
| 13                | 57                | 93                |
| 14                | 58                | 94                |
| 15                | 59                | 95                |
| 16                | 60                | 96                |
| 17                | 61                | 97                |
| 18                | 62                | 98                |
| 19                | 63                | 99                |
